en;jp
Show beacon modules in "Alt-mode";Altモードでビーコンのモジュールを表示
When holding an item, show its label if it has one (for example blueprint names).;カーソルにアイテムを持っているときに、ラベルがある場合は、ラベルを表示します(例えば、建設計画の名前など)。
Show rail block visualization;鉄道区間の可視化表示
Show missing logistic network icon;物流ネットワークに不足物がある際にアイコンを表示
When hovering over an entity, highlight neighboring entities that interact with it.;エンティティにカーソルを合わせるとき、それと相互作用する隣接エンティティを強調表示します。
Show grid when game is paused;ゲーム中断時にグリッドを表示
Crafting and logistics panels are laid out next to each other as opposed to being under alternative tabs.;製作・物流画面をタブではなくまとめて表示します。
Enable recipe notifications;レシピ通知を有効にする
Tool window next to quickbar;クイックバーの横にショートカットバーを表示
The angle of the train stop labels on the map.;マップ上の列車の駅ラベルの角度
UI scale;UIサイズ
Custom;カスタム設定
Language;言語
How long it takes for tooltips to appear at the cursor.;ツールチップがカーソル位置に表示されるのにかかる時間。
How long it takes for entity tooltips in the world to appear at the cursor.;カーソルを合わせてからエンティティツールチップが表示されるまでの時間。
Show entity tooltips under the minimap, instead of at the cursor.;エンティティのツールチップをカーソルの近くではなくミニマップの下に表示する。
How far away from the cursor tooltips appear.;カーソルからどれだけ離れてツールチップが表示されるか。
Show mod owners in tooltips;所有Modをツールチップに表示
Show a short textual description in some item, entity, or recipe tooltips. Recommended for new players or when adding new mods.;アイテム、エンティティ、またはレシピのツールチップに短い説明文を表示します。 新規プレイヤーや新しいMODを追加するときに推奨されます。
Shows the total amount of time and items that cannot be crafted by hand needed by a recipe.;レシピに必要なアイテム・時間の合計を表示します。表示されるアイテムは手動製作できないものです。
The number of seconds it takes for a chat or console message to start fading away.;チャットやコンソールメッセージが消えるまでの秒数
Show mouse and keyboard control hints;マウスとキーボードコントロールのヒントを表示
Show controller button hints;コントローラーボタンのヒントを表示
Show tips and tricks notifications;ヒントとコツの通知を表示する
Technology screen opens when research is completed;研究が完了したときにテクノロジーウィンドウを開く
Always keep player's main inventory sorted;インベントリを常に自動整頓
Tooltips;ツールチップ
Visualization;視覚化
Alt-mode;Altモード
The number of quickbars always visible on the screen.;画面に常時表示されるクイックバーの数。
The number of shortcut bar rows always visible on the screen.;画面に常時表示されるショートカットバーの行数。
Number of wagons to be visualized when building near rails.;レールの近くに設置するときに表示する車両の数。
Nintendo Switch;Nintendo Switch
Show word suggestions when using the on-screen keyboard.\nEnabling this also allows entering Chinese and Korean text and Japanese kanji characters.\nMakes the on-screen keyboard smaller.;オンスクリーンキーボードの使用中に単語の候補を表示します。\nこの機能を有効にすると、中国語や韓国語のテキストや日本語の漢字も入力できます。\nオンスクリーンキーボードを小さくします。
WARNING;警告
Don't change things if you don't know what you're doing: most of these are not validated.;これらの変更が理解できない場合は、変更しないでください。これらのほとんどは検証されていません。
Most settings require the game to be restarted in order to take effect.;ほとんどの設定は、有効にするためにゲームを再起動する必要があります。
Currently logged in as __1__;現在 __1__ としてログイン
Not currently logged in;現在ログインしていません
Log out;ログアウト
Set an email and password to use this account on other platforms or consoles.;他のプラットフォームやゲーム機でこのアカウントを使用するには、メールアドレスとパスワードを設定してください。
Automatically enable new mods;自動で新しいMODを使用
Check for updates when launching Factorio;起動時にアップデートの確認
Enable experimental updates;実験的な更新を有効にする
Proxy server;プロキシサーバー
Proxy server username;プロキシサーバーユーザー名
Proxy server password;プロキシサーバーパスワード
The player name to use for LAN games when not logged in. When logged in, it is the same as the Factorio username and it cannot be changed.;ログインしていないときにLANゲームに使用するプレイヤー名。ログイン時にはFactorioのユーザー名と同じで、変更することはできません。
Verbose logging;冗長なログ出力
Logs file size statistics when saving the map (WARNING: makes saving slower).;マップを保存するときに、ファイルサイズの統計を記録します。(警告：セーブに時間がかかります)
